"id","m_size", "n_size"
1,525,25
2,525,50
3,525,75
4,525,100
1,525,25
2,525,50
3,525,75
4,525,100
5,525,125
6,525,150
7,525,175
8,525,200
9,525,225
10,525,250
11,525,275
12,525,300
13,525,325
14,525,350
15,525,375
16,525,400
17,525,425
18,525,450
19,525,475
20,525,500
21,550,25
22,550,50
23,550,75
24,550,100
25,550,125
26,550,150
27,550,175
28,550,200
29,550,225
30,550,250
31,550,275
32,550,300
33,550,325
34,550,350
35,550,375
36,550,400
37,550,425
38,550,450
39,550,475
40,550,500
41,575,25
42,575,50
43,575,75
44,575,100
45,575,125
46,575,150
47,575,175
48,575,200
49,575,225
50,575,250
51,575,275
52,575,300
53,575,325
54,575,350
55,575,375
56,575,400
57,575,425
58,575,450
59,575,475
60,575,500
61,600,25
62,600,50
63,600,75
64,600,100
65,600,125
66,600,150
67,600,175
68,600,200
69,600,225
70,600,250
71,600,275
72,600,300
73,600,325
74,600,350
75,600,375
76,600,400
77,600,425
78,600,450
79,600,475
80,600,500
81,625,25
82,625,50
83,625,75
84,625,100
85,625,125
86,625,150
87,625,175
88,625,200
89,625,225
90,625,250
91,625,275
92,625,300
93,625,325
94,625,350
95,625,375
96,625,400
97,625,425
98,625,450
99,625,475
100,625,500
101,650,25
102,650,50
103,650,75
104,650,100
105,650,125
106,650,150
107,650,175
108,650,200
109,650,225
110,650,250
111,650,275
112,650,300
113,650,325
114,650,350
115,650,375
116,650,400
117,650,425
118,650,450
119,650,475
120,650,500
121,675,25
122,675,50
123,675,75
124,675,100
125,675,125
126,675,150
127,675,175
128,675,200
129,675,225
130,675,250
131,675,275
132,675,300
133,675,325
134,675,350
135,675,375
136,675,400
137,675,425
138,675,450
139,675,475
140,675,500
141,700,25
142,700,50
143,700,75
144,700,100
145,700,125
146,700,150
147,700,175
148,700,200
149,700,225
150,700,250
151,700,275
152,700,300
153,700,325
154,700,350
155,700,375
156,700,400
157,700,425
158,700,450
159,700,475
160,700,500
161,725,25
162,725,50
163,725,75
164,725,100
165,725,125
166,725,150
167,725,175
168,725,200
169,725,225
170,725,250
171,725,275
172,725,300
173,725,325
174,725,350
175,725,375
176,725,400
177,725,425
178,725,450
179,725,475
180,725,500
181,750,25
182,750,50
183,750,75
184,750,100
185,750,125
186,750,150
187,750,175
188,750,200
189,750,225
190,750,250
191,750,275
192,750,300
193,750,325
194,750,350
195,750,375
196,750,400
197,750,425
198,750,450
199,750,475
200,750,500
201,775,25
202,775,50
203,775,75
204,775,100
205,775,125
206,775,150
207,775,175
208,775,200
209,775,225
210,775,250
211,775,275
212,775,300
213,775,325
214,775,350
215,775,375
216,775,400
217,775,425
218,775,450
219,775,475
220,775,500
221,800,25
222,800,50
223,800,75
224,800,100
225,800,125
226,800,150
227,800,175
228,800,200
229,800,225
230,800,250
231,800,275
232,800,300
233,800,325
234,800,350
235,800,375
236,800,400
237,800,425
238,800,450
239,800,475
240,800,500
241,825,25
242,825,50
243,825,75
244,825,100
245,825,125
246,825,150
247,825,175
248,825,200
249,825,225
250,825,250
251,825,275
252,825,300
253,825,325
254,825,350
255,825,375
256,825,400
257,825,425
258,825,450
259,825,475
260,825,500
261,850,25
262,850,50
263,850,75
264,850,100
265,850,125
266,850,150
267,850,175
268,850,200
269,850,225
270,850,250
271,850,275
272,850,300
273,850,325
274,850,350
275,850,375
276,850,400
277,850,425
278,850,450
279,850,475
280,850,500
281,875,25
282,875,50
283,875,75
284,875,100
285,875,125
286,875,150
287,875,175
288,875,200
289,875,225
290,875,250
291,875,275
292,875,300
293,875,325
294,875,350
295,875,375
296,875,400
297,875,425
298,875,450
299,875,475
300,875,500
301,900,25
302,900,50
303,900,75
304,900,100
305,900,125
306,900,150
307,900,175
308,900,200
309,900,225
310,900,250
311,900,275
312,900,300
313,900,325
314,900,350
315,900,375
316,900,400
317,900,425
318,900,450
319,900,475
320,900,500
321,925,25
322,925,50
323,925,75
324,925,100
325,925,125
326,925,150
327,925,175
328,925,200
329,925,225
330,925,250
331,925,275
332,925,300
333,925,325
334,925,350
335,925,375
336,925,400
337,925,425
338,925,450
339,925,475
340,925,500
341,950,25
342,950,50
343,950,75
344,950,100
345,950,125
346,950,150
347,950,175
348,950,200
349,950,225
350,950,250
351,950,275
352,950,300
353,950,325
354,950,350
355,950,375
356,950,400
357,950,425
358,950,450
359,950,475
360,950,500
361,975,25
362,975,50
363,975,75
364,975,100
365,975,125
366,975,150
367,975,175
368,975,200
369,975,225
370,975,250
371,975,275
372,975,300
373,975,325
374,975,350
375,975,375
376,975,400
377,975,425
378,975,450
379,975,475
380,975,500
381,1000,25
382,1000,50
383,1000,75
384,1000,100
385,1000,125
386,1000,150
387,1000,175
388,1000,200
389,1000,225
390,1000,250
391,1000,275
392,1000,300
393,1000,325
394,1000,350
395,1000,375
396,1000,400
397,1000,425
398,1000,450
399,1000,475
400,1000,500
