"id", "mean_ThinQR_time_elapsed","std_ThinQR_time_elapsed", "mean_QR_time_elapsed", "std_QR_time_elapsed", "mean_mQR_time_elapsed", "std_mQR_time_elapsed"
1,0.01484,0.0044757,0.027443,0.0054256,0.0071033,0.015419
2,0.051365,0.01534,0.071961,0.016134,0.00029757,5.9155e-05
3,0.11715,0.04422,0.10704,0.031371,0.00049502,0.0003097
4,0.19799,0.02602,0.12282,0.014044,0.0006329,0.00022537
1,0.013508,0.0042873,0.025897,0.0049818,0.00012872,3.1018e-05
2,0.039055,0.0054273,0.048088,0.0027714,0.00017905,2.8836e-05
3,0.079459,0.0076038,0.072709,0.0056868,0.00031581,4.0024e-05
4,0.14415,0.0071211,0.11023,0.019001,0.00049137,6.5145e-05
5,0.19914,0.016658,0.16567,0.0068006,0.0006289,7.5807e-06
6,0.29151,0.040449,0.18762,0.0092157,0.00091976,0.00019521
7,0.54538,0.013745,0.25559,0.037725,0.0010698,4.0527e-05
8,0.63798,0.030411,0.30865,0.030462,0.0013497,4.3591e-05
9,0.73612,0.010068,0.35482,0.025296,0.0018605,0.0003476
10,0.82032,0.025564,0.36046,0.024306,0.0019198,3.1169e-05
11,0.93114,0.048238,0.40713,0.046892,0.0026069,0.00053372
12,1.0996,0.076647,0.46679,0.019757,0.0033676,0.00081595
13,1.1671,0.051264,0.45208,0.059414,0.0032301,0.00026958
14,1.2621,0.085461,0.53355,0.0077763,0.0036268,0.00034488
15,1.4075,0.096629,0.49708,0.056003,0.0042527,0.00032645
16,1.7787,0.1882,0.56978,0.035891,0.0052932,0.00097804
17,1.9759,0.13372,0.58568,0.066214,0.0055336,0.00083204
18,2.1705,0.26418,0.63627,0.060112,0.0060337,0.0012865
19,2.1772,0.10596,0.64858,0.035714,0.0060352,0.00050992
20,2.3595,0.078872,0.68102,0.015053,0.0066808,0.00058122
21,0.016549,0.005162,0.027049,0.0015491,0.00014819,2.8714e-05
22,0.049123,0.0053595,0.057587,0.0023493,0.00022034,3.8009e-05
23,0.099796,0.0081863,0.099212,0.035235,0.00030862,6.0989e-06
24,0.14898,0.0072181,0.11816,0.014761,0.00047578,2.5101e-05
25,0.2197,0.022564,0.18924,0.032602,0.00066044,6.3237e-05
26,0.33452,0.070666,0.21832,0.013452,0.00092662,0.00010522
27,0.4926,0.072116,0.25963,0.030552,0.0012797,0.0003741
28,0.82472,0.15008,0.57209,0.34608,0.0021333,0.0012433
29,0.83395,0.051297,0.39217,0.0052978,0.0018758,0.00014929
