"id","m_size", "n_size", "k_rank", "density", "lambda_u", "lambda_v", "last_epoch_mean", "last_epoch_std", "tot_time_mean","tot_time_std", "epoch_time_mean","epoch_time_std", "precision_mean",  "precision_std"
1,10,10,2,1,1,1,100,0,0.037957,0.021159,0.00037957,0.00021159,0.35693,9.125e-14
2,10,10,9,1,1,1,100,0,0.15311,0.037081,0.0015311,0.00037081,2.4573,0
3,10,50,2,1,1,1,100,0,0.049033,0.0032742,0.00049033,3.2742e-05,0.15393,0
4,10,50,9,1,1,1,100,0,0.099172,0.032984,0.00099172,0.00032984,1.9094,5.439e-16
5,10,100,2,1,1,1,100,0,0.03751,0.0059827,0.0003751,5.9827e-05,0.11356,0.0014207
6,10,100,9,1,1,1,100,0,0.13996,0.0051321,0.0013996,5.1321e-05,1.3972,7.0217e-16
7,10,200,2,1,1,1,100,0,0.077167,0.0064874,0.00077167,6.4874e-05,0.078067,1.2319e-06
8,10,200,9,1,1,1,100,0,0.23359,0.028175,0.0023359,0.00028175,1.0179,3.2461e-11
9,50,10,2,1,1,1,100,0,0.044734,0.0099253,0.00044734,9.9253e-05,0.15753,0
10,50,10,9,1,1,1,100,0,0.10025,0.029451,0.0010025,0.00029451,1.8731,3.1402e-16
11,50,50,2,1,1,1,100,0,0.041948,0.0051695,0.00041948,5.1695e-05,0.063422,2.7776e-11
12,50,50,49,1,1,1,100,0,1.2632,0.085178,0.012632,0.00085178,6.4168,4.7984e-06
13,50,100,2,1,1,1,100,0,0.073078,0.01119,0.00073078,0.0001119,0.047345,0.002512
14,50,100,49,1,1,1,100,0,1.8246,0.13504,0.018246,0.0013504,6.0197,4.9565e-11
15,50,200,2,1,1,1,100,0,0.16403,0.041211,0.0016403,0.00041211,0.033224,0.0049399
16,50,200,49,1,1,1,100,0,4.01,1.5373,0.0401,0.015373,4.893,3.3448e-07
17,100,10,2,1,1,1,100,0,0.070951,0.011413,0.00070951,0.00011413,0.10881,3.9934e-10
18,100,10,9,1,1,1,100,0,0.1961,0.053661,0.001961,0.00053661,1.5083,4.003e-16
19,100,50,2,1,1,1,100,0,0.073864,0.0084404,0.00073864,8.4404e-05,0.044713,4.7092e-07
20,100,50,49,1,1,1,100,0,2.2936,0.52796,0.022936,0.0052796,5.9904,3.8106e-10
21,100,100,2,1,1,1,100,0,0.16851,0.061916,0.0016851,0.00061916,0.030907,2.3326e-05
22,100,100,50,1,1,1,100,0,2.3555,0.14314,0.023555,0.0014314,2.0591,0.0010907
23,100,100,99,1,1,1,100,0,12.54,1.2599,0.1254,0.012599,9.2865,8.4883e-08
24,100,200,2,1,1,1,100,0,0.36865,0.10644,0.0036865,0.0010644,0.023812,0.0044043
25,100,200,50,1,1,1,100,0,5.9696,1.1342,0.059696,0.011342,1.1359,0.0012712
26,100,200,99,1,1,1,100,0,25.149,5.3867,0.25149,0.053867,8.5569,5.1216e-07
27,200,10,2,1,1,1,100,0,0.49955,0.33438,0.0049955,0.0033438,0.077613,2.2564e-09
28,200,10,9,1,1,1,100,0,0.45751,0.38235,0.0045751,0.0038235,1.0588,2.5379e-14
29,200,50,2,1,1,1,100,0,0.20298,0.099247,0.0020298,0.00099247,0.031073,5.943e-08
30,200,50,49,1,1,1,100,0,3.6069,0.3842,0.036069,0.003842,4.8473,9.3628e-05
31,200,100,2,1,1,1,100,0,0.20403,0.0087014,0.0020403,8.7014e-05,0.02522,0.0074095
32,200,100,50,1,1,1,100,0,4.5305,0.90909,0.045305,0.0090909,1.1225,0.00040484
33,200,100,99,1,1,1,100,0,20.616,2.4273,0.20616,0.024273,8.6713,3.0024e-06
34,200,200,2,1,1,1,100,0,0.49443,0.21332,0.0049443,0.0021332,0.015281,3.2407e-05
35,200,200,50,1,1,1,100,0,7.3776,0.42642,0.073776,0.0042642,0.60531,0.0042762
36,200,200,150,1,1,1,100,0,79.95,9.1078,0.7995,0.091078,6.8655,0.00051477
37,200,200,199,1,1,1,100,0,183.15,49.613,1.8315,0.49613,13.513,1.7968e-05
